"Start Time","End Time","Text","Layer ID"
"00:13:59:16","00:14:02:18","Y por esosi te digo que sÃ­, vale la pena.","1"
"00:14:02:18","00:14:02:29","Como que","1"
"00:14:02:29","00:14:06:29","todo ese tipo de detalleste trates de ser mÃ¡s consciente","1"
"00:14:07:06","00:14:09:01","y sobre todo tepuedas ayudar a ti mismo.","1"
"00:14:09:01","00:14:12:01","Eso es un regalo que teestÃ¡s haciendo para ti.","1"
"00:14:12:08","00:14:15:06","El invertir, el guardar tutu dinero.","1"
"00:14:15:06","00:14:18:06","Lo que sÃ­ puedo decires que anteriormente si gastaba","1"
"00:14:18:15","00:14:21:15","de una forma actualmenteen este trabajo gasto de otra,","1"
"00:14:21:19","00:14:24:14","pero porque me he preocupadomÃ¡s en temas de salud,","1"
"00:14:24:14","00:14:27:22","en temas personales,por ejemplo el","1"
"00:14:28:14","00:14:31:02","los tenis para corrersi son caros","1"
"00:14:31:02","00:14:33:20","antes de buscarsiempre tenis como medios","1"
"00:14:33:20","00:14:36:09","baratos de promocionesen las alas de Nike","1"
"00:14:36:09","00:14:37:27","y que solamentelos tenis de Nike","1"
"00:14:37:27","00:14:38:24","me generaban fascitis","1"
"00:14:38:24","00:14:41:09","plantar y me terminaban doliendolos pies y todo el rollo","1"
"00:14:41:09","00:14:42:19","en la parte del arco.","1"
"00:14:42:19","00:14:45:13","Y ahÃ­ sÃ­fue un gasto que tuve que subir","1"
"00:14:45:13","00:14:46:05","y tuve que buscar","1"
"00:14:46:05","00:14:47:13","otro tipo de marcas de tenis","1"
"00:14:47:13","00:14:49:26","en vez de gastarme ya2.000Â $ en tenis,","1"
"00:14:49:26","00:14:51:27","tengo que comprarmetenis de 3.000Â $,","1"
"00:14:51:27","00:14:54:09","pero es por el tema de la espumaesto que llevaba.","1"
"00:14:54:09","00:14:55:27","Pero si lo piensas,para evitarme","1"
"00:14:55:27","00:14:58:01","lesionesen la parte del arco del pie,","1"
"00:14:58:01","00:15:01:16","en la parte internay era nutriÃ³loga tambiÃ©n","1"
"00:15:01:17","00:15:04:23","porque pues tambiÃ©n ya no estabaconsiguiendo los nÃºmeros","1"
"00:15:04:23","00:15:05:27","que querÃ­a la hora de correr","1"
"00:15:05:27","00:15:09:04","ni la energÃ­ay no serÃ­a comer genuinamente.","1"
"00:15:09:07","00:15:11:15","Y fueron cosas queme han estado ayudando mucho,","1"
"00:15:11:15","00:15:13:14","pero obviamente tambiÃ©nconllevan un gasto.","1"
"00:15:13:14","00:15:14:19","AsÃ­ que sÃ­, aumentÃ³","1"
"00:15:14:19","00:15:18:04","un porcentaje alto en esa forma,por ejemplo, y","1"
"00:15:18:25","00:15:21:24","he tratado mejorya de comprar cafÃ© en grano","1"
"00:15:22:04","00:15:25:08","comprando un molinopara darme esa efecto placebo de","1"
"00:15:25:08","00:15:26:29","yo hacerme el cafÃ© en casa,pero obviamente","1"
"00:15:26:29","00:15:30:17","comprarte un cafÃ© en grano,molerlo tÃº del cafÃ© que vendo.","1"
"00:15:30:25","00:15:33:27","Este es otra cuestiÃ³ntotalmente diferente,","1"
"00:15:33:27","00:15:36:26","placentera, porque es comoque el ritual de demolerlo","1"
"00:15:36:28","00:15:39:12","que huela rico y prepararlo.","1"
"00:15:39:12","00:15:43:02","Para eso comprÃ© una claseexpresso, un 60 y la cafetera","1"
"00:15:43:09","00:15:44:26","tÃ­pica de goteo de oficina.","1"
"00:15:44:26","00:15:47:05","Y de esta formaes como un estado","1"
"00:15:47:05","00:15:48:05","manteniendo que si un","1"
"00:15:48:05","00:15:49:06","mÃ©todo, porcentajes de gasto,","1"
"00:15:49:06","00:15:51:28","si nÃºmero realno lo tengo con exactitud,","1"
"00:15:51:28","00:15:53:24","pero de una u otra formauno aumenta","1"
"00:15:53:24","00:15:56:23","porque dices que para esotrabajo.","1"
"00:15:56:23","00:16:00:00","Frase que siempre te lleva amalas decisiones financieras.","1"
"00:16:00:05","00:16:03:05","Â¿Y de verdad tÃº crees queel prÃ³ximo aumento de sueldo","1"
"00:16:03:18","00:16:05:10","te va a sacar donde estÃ¡s?","1"
"00:16:05:10","00:16:06:02","Â¿Como yo?","1"
"00:16:06:02","00:16:07:24","Â¿Ya sÃ©, ahora que no?","1"
"00:16:07:24","00:16:10:24","Como yo ya sÃ© que ahora que norecuerda, dÃ©jame tu comentario.","1"
"00:16:10:25","00:16:12:07","Â¿QuÃ© opinas de toda estareflexiÃ³n","1"
"00:16:12:07","00:16:13:14","que estuvimos hablando derespecto","1"
"00:16:13:14","00:16:15:25","a la carrerade la rata del programador?","1"
"00:16:15:25","00:16:18:06","CompÃ¡rtelo con ese amigoque siempre estÃ¡ quebrado,","1"
"00:16:18:06","00:16:19:25","sea o no sea programador","1"
"00:16:19:25","00:16:23:18","y los veamos en un prÃ³ximoepisodio de Black Ice Labs.","1"
