Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (MXN),Thumbnail impressions,Thumbnail click-through rate (%)
UejFExc6rqI,"9 años, 0 consistencia: por qué de verdad no me ha funcionado","Aug 7, 2026",63,60,0.2397,0,0.042,133,3.01
8JabpUUQn1U,Explique las palabras clave async y await en Dart.  #flutterdeveloper #flutterapp #flutterenespañol,"Oct 9, 2023",26,60,0.1682,1,0.013,374,1.87
gSrA0laFLh4,¿Qué debe tener un CV de programador para que un reclutador lo lea? | Conseguir Chamba Dev #1,"Aug 22, 2026",73,58,0.426,0,0.036,192,2.08
GGNiT9PgrFQ,Flutter Tutorial Shared Preferences ¿Cómo se usa?,"Aug 2, 2022",654,57,3.0248,0,0.689,376,8.78
RhO1-yrS3nA,Como aprender solidity? Como aprender hacer smart contracts?,"Feb 22, 2023",44,56,0.3064,2,0.033,615,1.79
kERT42o5mjw,Tipos de Testing en Flutter  Descubre cómo mejorar tus proyectos,"Mar 31, 2024",50,55,0.3007,0,0.027,671,2.53
1wDn9UMUik4,Tiré mi café ☕ en el teclado ⌨️😭,"Aug 24, 2023",37,55,0.1647,0,0.024,480,3.75
aVteYlSC8Uc,¿Cómo hacer peticiones HTTP con una Clase en Flutter?,"Feb 8, 2022",661,53,2.6758,1,0.877,297,10.44
ZCaLImYrbCo,¿Se puede conseguir trabajo en flutter sin experiencia?,"Sep 17, 2025",35,53,0.2583,0,0.022,240,7.08
bDovcerN0Qs,"Una semana con Swift: Hello World, Xcode, y lo que ya odio | Camino a AI Engineer #2","Aug 9, 2026",88,53,0.4073,0,0.037,294,3.4
tPNm4Bj-xzk,Como ser un arquitecto de software?,"Oct 10, 2025",41,52,0.2416,0,0.023,423,1.89
Y7BzYgbDjwo,"TOP 7 extensiones para mejorar VSCode, Cursor y Windsurf:

⭐ Error Lens
Muestra errores y warnings d","Apr 21, 2026",16,51,0.0882,0,0.006,0,
CUmxD8W0soU,Google siendo google,"Mar 20, 2026",59,51,0.2327,0,0.026,168,1.79
4SG2CAsnUcg,Xiaomi si resolvió lo de mi monitor,"Jul 15, 2026",45,51,0.1776,0,0.043,184,1.09
7W0qssk8Ajc,Widgets Basicos De Flutter En Español || Eliecer Garcia,"Aug 11, 2020",640,50,2.1752,1,1.11,233,12.88
-cw3IRsP7XY,"Soy desarrollador móvil"" ya no es suficiente 🔥","Oct 28, 2025",32,49,0.2212,0,0.027,459,4.14
oJonA-oiR9c,Flutter en Español en Github Subiremos Los Proyectos,"Dec 16, 2020",299,49,0.9012,0,1.006,247,14.57
aC-iPik67PY,¿Firebase o Supabase? Para un MVP en Flutter,"Jul 22, 2024",60,48,0.4229,0,0.019,673,2.08
OU1VjztonJc,¿Cómo se crea un widget personalizado en Flutter?  #flutter #flutterenespanol #flutterapp no.6,"Sep 27, 2023",28,47,0.1636,0,0.028,519,1.73
PwDquxGCUSs,Sobrevivir la Chamba Gringa #1: Deja de sonar inseguro en inglés,"Jul 29, 2026",75,47,0.3116,0,0.033,166,4.22
ITIWGl6eGBE,¿Cómo se implementan animaciones en Flutter?  #flutterdeveloper #flutterapp #flutterenespanol,"Oct 17, 2023",22,46,0.1005,0,0.01,536,2.05
bAfotwpSyCk,Ni uno ni otro! Pero puro TS,"Jul 26, 2025",61,46,0.0508,0,0.085,61,0
-PY7aFgv8zI,3 Trucos en Flutter para programar mejor en Español,"Apr 5, 2022",360,45,2.0257,0,0.473,572,4.2
8f1QuUhfj_I,"#004 Extensiones de Visual Studio Code a usar en Flutter, Curso de Flutter en español","Dec 6, 2022",337,44,1.5508,0,3.875,329,4.26
kRH_sx_X2oQ,"Por fin nos están pagando: Fitexe, el software para gimnasios y CrossFit","Aug 11, 2026",117,44,0.4523,0,0.039,506,3.56
na7aAa3LUbg,"Fernando Herrera, como empezo su carrera universitaria parte #1","Mar 12, 2023",60,43,0.2231,0,0.022,1776,0.45
zVL8AbnLBgI,064.Tendencias en el Desarrollo de Aplicaciones Móviles para 2025,"Feb 19, 2025",874,42,2.3539,0,1.54,446,3.36
f7OP-6g_VFE,Me quedé sin tokens en copilot,"May 5, 2026",68,42,0.3017,0,0.02,295,2.37
LIbZrIbB6Ls,Como aprender Flutter en español,"Sep 14, 2022",32,42,0.0908,0,0.025,501,1
-TWCEmG96NI,Flutter tutorial ¿Cómo hacer la vista de perfil,"Jul 5, 2022",557,41,0.7064,0,0.251,113,10.62
4k3FOUWgXqU,Flutter en Español Rediseño del App,"Feb 10, 2021",472,41,1.3458,1,0.942,1326,1.66
1tOdZgXyt68,Abres la terminal y piensan que eres hacker,"Nov 30, 2022",5,41,0.0476,0,0.008,159,1.26
47uKjP9IyTc,Flutter en Español ¿Cómo Hacer Mi Aplicación Responsiva?,"Apr 20, 2021",631,39,1.8328,0,0.379,945,2.12
mnZ6qm7jIHs,LA REALIDAD DE VIVIR DE YOUTUBE,"May 7, 2026",60,38,0.5115,0,0.313,1396,1.72
Map6meD9JQA,Flutter Provider tutorial en Español,"Mar 29, 2022",921,38,2.3385,0,0.501,736,2.17
DL1d3n0oYhE,Macbook pro para programar,"Dec 24, 2024",378,38,1.7359,0,0.924,155,4.52
sZ0l87jacvY,Juniors: NO cometan este error con la IA,"Dec 5, 2025",18,37,0.1106,0,0.018,107,2.8
jSnEc5osLEE,Explica la arquitectura de Flutter #flutterdeveloper #flutterapp #flutterenespanol pregunta no.3,"Sep 22, 2023",28,36,0.1418,0,0.01,482,1.24
EYLCXE9Q9ps,001 - Necesitas Construir,"Aug 21, 2025",397,36,1.0267,0,0.368,887,1.92
d4DcMrAKz9w,Hey Youtube - Absa Dev,"May 18, 2026",180,36,0.7365,0,1.672,908,2.97
aQIsJu-8OZs,"Flutter y Supabase, como encontraron ideas para hacer apps parte 1 #flutterapp  #developer","Jul 30, 2024",60,35,0.2749,0,0.013,472,2.54
9k7JTrBQG5M,"FIFA world cup 2026, ¿alguien pudo registrarse para la venta visa?","Sep 10, 2025",6,35,0.0458,0,0.006,618,0.65
cKzldVw8bvQ,Flutter Ventajas Y Desventajas,"Jun 23, 2020",661,35,2.5756,0,0.823,263,7.6
paGXjVjK_tM,Aprender Swift: ¿ruta gratis o comprar un curso?,"Aug 5, 2026",76,35,0.2271,0,0.018,230,1.74
CnXHMYmp3uY,¿Cual Android comprar en 2026?,"Oct 10, 2025",71,34,0.1774,0,0.012,722,1.39
J8Ys-oxJ-EU,"Flutter Curso en español, ¿Cómo usar firebase cli en Flutter?","Oct 31, 2023",905,34,1.7132,0,0.841,204,11.76
ER3LrTTkxDk,"#001 Bienvenida al Curso de Flutter en Español, de Jr a Sr.","Nov 17, 2022",183,33,0.442,0,0.41,161,5.59
oThQZQ3K-QQ,¿Cómo trabajar con Localhost y flutter en Español?,"Sep 28, 2021",557,32,1.3745,0,0.235,123,8.94
i9OWGPvTF_Y,¿De verdad puedes dominar Flutter en semanas?  #flutterdeveloper,"Sep 30, 2025",27,32,0.1641,0,0.018,162,8.64
OiqOXJJKktw,500K vistas en Instagram y nadie llegó a YouTube,"Apr 28, 2026",50,31,0.0698,0,0.008,465,0
bqR9qsaw5NU,Por qué Python DOMINA la Inteligencia Artificial (No es por lo que crees),"Nov 13, 2025",31,31,0.12,0,0.019,658,0.91
uvTlSTDgZxM,¿Qué Necesito Saber Para Aprender Flutter? || Eliecer Garcia,"Jul 28, 2020",756,31,2.0312,1,0.315,277,4.69
TnN6iizBzdM,Tipos de variables en Dart || Curso de Flutter en español,"Jan 17, 2023",518,30,1.1934,0,0.39,278,7.19
MXxcSQlYn4g,¿En qué plataformas consigue chamba de programador? Las que sí me funcionaron Conseguir Chamba Dev,"Aug 24, 2026",64,30,0.1602,0,0.036,70,4.29
tt_m3KFiD-U,073 - ¿Qué Son los AI Agents? Usos y Ejemplos Prácticos de Inteligencia Artificial Avanzada,"Aug 1, 2025",686,29,0.7163,0,0.536,1020,0.78
7rZ8fDTIT4o,004 - ¿Cómo alguien sin experiencia puede posicionarse para entrar al mercado laboral con Flutter?,"Sep 15, 2025",331,29,1.2014,1,0.185,342,5.56
5cfQhuqj_6Y,"Error común en flutter, Todo en main.dart","Oct 2, 2025",28,29,0.0906,0,0.007,354,3.11
p-Lk1866V8w,¿Qué son los widgets en Flutter?  #flutterdeveloper #flutterenespanol #flutterapp #developer no.4,"Sep 25, 2023",25,29,0.081,0,0.011,321,1.56
YYGrFa-JJqk,"Rainbow, mi extensión favorita de VS","Apr 7, 2022",32,28,0.0937,0,0.01,106,8.49
e-S2WFkPCKo,Como poner más de 2 lenguajes en una app de Flutter,"Apr 27, 2023",32,28,0.0987,0,0.011,277,3.97
Pn1IdeLae7U,Flutter en Español ¿Cómo Usar Firebase Sign in?,"May 11, 2021",550,27,1.4593,1,0.637,727,1.93
f9JC-AwN9TA,¿Cómo consultar una API en Flutter? Parte 1,"Jul 20, 2021",270,27,0.626,0,0.345,163,11.66
8y6IP50b6k4,Que es dart? Curso de Flutter en español,"Jan 10, 2023",409,27,0.9504,0,0.189,195,3.08
zz14fXaUpkc,Cafeteria en Guadalajara para trabajar remoto,"Nov 11, 2025",34,27,0.0684,0,0.015,177,2.26
Eiogm03S46I,Flutter en Español ¿Cómo Usar El Operador Ternario?,"Apr 6, 2021",388,27,1.2646,0,0.212,1138,0.97
KJn3VpKrlFY,¿Cómo encontrar trabajo en flutter?,"Jan 30, 2024",48,26,0.1512,0,0.012,182,6.04
vLGfOnEjAt4,Evaluando la aplicación Expense Manager,"Oct 7, 2022",398,26,0.8565,0,4.015,98,9.18
O13j6CjIZPM,¿Porque Vale La Pena Flutter Windows App? || Eliecer Garcia,"Aug 25, 2020",867,26,3.1678,0,0.047,160,5
HMhTsGXpbTA,En Flutter Usar Firebase para un MVP te ayuda a reducir tiempos para hacer tus proyectos personales,"Jul 23, 2024",45,26,0.0991,0,0.007,325,1.23
mVLENzaRKxM,Así automatice mi WhatsApp,"Aug 25, 2026",68,26,0.0958,0,0.011,136,1.47
mLZEZ8FnXoA,066. ¿Qué se espera de un Junior Developer hoy?,"Apr 21, 2025",951,26,2.6297,0,0.218,634,0.95
Yk8rQ9bdigY,Flutter ¿Cómo Empezar Una App Desde 0? || Eliecer Coding,"Nov 25, 2020",368,26,0.4123,2,0.252,130,4.62
AP_wLXCoXWc,Es difícil programar?,"Sep 2, 2022",46,26,0.1442,0,0.014,181,1.66
DFRx8MrxWvs,Natanael cano saca nuevo álbum y automáticamente yo 🥵,"Jun 30, 2023",24,25,0.0263,0,0.022,281,0
1IPLA3GV4dg,MVP con Firebase y Provider en Flutter en Español,"Apr 12, 2022",5022,25,2.1005,0,0.633,343,3.79
-2uW608Zl3Y,"Ya trato de automatizar mi trabajo lo más que pueda, para solo hacer las cosas relevantes","Apr 24, 2026",48,25,0.0879,0,0.01,317,0.95
Bv0950kq_gI,Funciones en Dart || Curso de Flutter en español,"Jan 31, 2023",479,25,0.8547,0,0.142,419,3.58
siuYsXQKaFc,¿Cómo se manejan las solicitudes HTTP en Flutter?  #flutterdeveloper #flutterapp #flutterenespanol,"Oct 10, 2023",17,24,0.0563,0,0.009,223,2.69
L2d4SdFYZkM,Que lenguaje de programación se usa en Flutter? pregunta no.2,"Sep 21, 2023",18,24,0.0575,0,0.012,274,1.46
Grrf2y6sm4s,¿En qué andas trabajando ahora?,"Aug 12, 2026",16,24,0.0198,0,0.002,0,
0-Yq_mZ3A-0,"Como Sobrevivir la Chamba Gringa #2: Pedir ayuda como senior, no como junior","Jul 31, 2026",72,24,0.1739,0,0.018,93,4.3
V2-tiMn_WN4,¿Cómo organizar mi proyecto en GitHub?,"Nov 23, 2021",496,24,0.5836,0,0.624,107,5.61
n5Mi4FqEXgE,053. ¿Qué Mac comprar para programar en Flutter?,"Oct 14, 2024",570,24,1.4012,0,0.334,128,3.13
TNVJwUv8z_Q,3 cosas que la Inteligencia Artificial NUNCA podrá reemplazar,"Jan 17, 2026",36,24,0.0554,0,0.006,82,0
Vzr54WSb0zg,Nunca dejes de construir: Lecciones de un año de cambios radicales,"Dec 10, 2025",411,23,1.03,1,0.105,841,1.55
5tiRTpgHjhg,Nunca pongas a tus archivos index.tsx por favor #typescript,"Jul 28, 2025",55,23,0.1041,0,0.02,196,4.08
1vT66jwfYss,Confío que sucederá #googleio,"May 14, 2025",3,22,0.0109,0,0.015,6,0
EfqRBr9UJiE,"Provider, el mejor gestor para flutter en tu MVP, si vienes de react o react native","Sep 14, 2024",58,22,0.1562,0,0.019,250,5.6
dZ2CgEcwPDo,Ahora dicen que soy secretaria del IMSS,"Jun 8, 2022",22,22,0.0679,0,0.015,232,4.31
vSondCqadU4,Aplico a vacantes de programador y nadie me responde: qué cambiar | Conseguir Chamba Dev #3,"Aug 25, 2026",63,22,0.1457,0,0.012,69,2.9
bEu0tF6JBEM,"Analogue again, decidí dejar un rato los AirPods, y volver a los Audífonos decidí cable y no me daba","Aug 17, 2026",16,22,0.0201,0,0.01,0,
chz4pLW5yBI,¿Cómo encontrar trabajo remoto de programador? Pasen tips,"Feb 24, 2025",15,22,0.0504,0,0.012,162,1.85
2hOy4r8oANg,Ventajas de ser programador,"Sep 26, 2023",15,22,0.0505,0,0.026,80,5
tXxwUvSJyPw,"Flutter, Los Pluggins Que Uso Para Programar En Dart Y En Flutter ||Eliecer Coding","Jul 21, 2020",751,22,0.7305,0,0.3,135,5.19
FWWPFpqtkWQ,¿El Fin de tu Carrera como Programador? Gemini 3.0,"Dec 2, 2025",1208,21,1.2653,0,0.595,755,1.59
aoCsrWzm2dM,Flutter y git? Qué relación tiene?,"Feb 22, 2022",307,21,0.6952,0,0.393,165,7.88
IHPfsA5CW6Y,¿Buscas una cafetería en Guadalajara donde sí te dejen trabajar tranquilo? #moodyoffice,"Jul 12, 2025",80,21,0.1706,0,0.019,186,2.69
PunIWVFupX8,Flutter vs kotlin ¿Cuál es Mejor?,"Mar 31, 2021",474,21,0.9402,0,0.09,125,5.6
HGRZAqiHx8c,OpenAI lanza ATLAS 🌐: el navegador con inteligencia artificial que puede navegar por ti,"Oct 21, 2025",67,20,0.0727,0,0.005,411,0.24
lJThvncr8AU,No uses Nodejs para AI,"Nov 3, 2025",684,20,0.5039,1,0.069,458,1.09
WTxlUnI_xVE,Explica el concepto de hot reload en Flutter  #flutterdeveloper #flutterenespanol no. 10,"Oct 3, 2023",26,20,1.0246,0,0.004,129,4.65
Y7EgM6VOw2U,Malva dando consejos a los programadores Junior's,"May 1, 2025",58,20,0.0701,0,0.011,87,5.75
Wf7y4KvyLDQ,Fernando Herrera en la Jsconf,"Oct 30, 2025",73,20,0.1356,0,0.021,285,3.51
4hsPN960qiA,Flutter provider mi gestor de estados favorito,"Aug 16, 2024",46,20,0.1149,1,0.01,197,6.09
nle2hVODEdE,Cuando la caféina hace su chamba,"Jul 18, 2022",23,19,0.0296,0,0.005,79,0
9uitidPHngo,Flutter es un lenguaje de POO?,"Mar 2, 2023",606,19,1.1411,0,0.149,266,3.38
2TvBtCvoTXQ,Explica la state management en Flutter y por qué es importante. no.16 #flutterdeveloper #flutterapp,"Oct 11, 2023",23,18,0.0605,0,0.008,244,3.28
sM75kuJ1XfE,¿Cómo conseguir mi primer trabajo como programador?,"Jul 18, 2023",50,18,0.0489,0,0.014,312,0.96
KXJreZRSrJU,Como Programar Un Boton En Flutter || Eliecer Coding,"Oct 20, 2020",415,18,0.7041,0,0.235,158,7.59
671NTBsUC2k,MacOS Mi Experiencia en Flutter!,"Jun 7, 2022",425,18,0.3794,0,0.161,139,10.07
kvWc6umae1I,Como usar Flutter int  #flutterdeveloper #flutterapp #flutter,"Sep 11, 2023",48,18,0.0455,0,0.007,342,0.88
jbJB-Zp8uNc,Que dispositivos usar para emular tus aplicaciones,"Sep 7, 2023",42,18,0.0551,0,0.022,332,1.81
lqy258DBaaQ,Flutter Pub.dev ¿Que es? || Eliecer Coding,"Aug 18, 2020",775,17,0.8734,1,0.471,177,2.82
Ope_zmuZDrU,Flutter en Español ¿Cómo hacer un Menú de Restautante en una 1 hora?,"May 18, 2021",1570,17,0.62,0,0.178,211,4.74
ohP-Fw9UqnA,"El MITO ""Python es Lento"" DEBE MORIR 🧙‍♂️","Nov 5, 2025",27,17,0.0519,0,0.009,178,2.25
3wLG3PWUzkY,#002 ¿Cómo funcionará el curso? De Flutter en español,"Nov 22, 2022",219,16,0.2972,0,0.035,142,3.52
TwUE6Zmsp6M,Diferencias Entre Un Stateful y Stateless Widget || Eliecer Coding,"Oct 28, 2020",344,16,0.5385,0,0.288,128,6.25
EogP8Sbv5UE,Mi plan realista para el 2026,"Dec 6, 2025",10,16,0.0246,0,0.004,616,0.16
Sqa_XsNTYjo,¿Cómo estructurar un Proyecto en Flutter?,"Jun 14, 2022",642,16,0.4822,0,0.008,96,4.17
thmTrYTSuHY,Apps para dispositivos plegables 📱 para cuando?,"Feb 26, 2025",55,16,0.2247,0,0.015,105,6.67
0KBi4wfY2yA,"Next js es mejor que Flutter, descubre el porque!","May 9, 2023",205,16,0.3084,0,0.136,81,6.17
0e5lqdI7sB4,JSconf 2025 Guadalajara,"Dec 1, 2025",338,16,0.5827,0,0.147,494,1.62
_0f76MUrgx8,¿Cómo pasar de React Native a Flutter?,"Aug 31, 2021",340,15,0.4495,1,0.212,53,11.32
P78Nrpho-L0,Ciclos FOR en Dart || Curso de Flutter en español,"Jan 24, 2023",581,15,0.7683,0,0.083,161,6.21
41jGYKoflB0,Cuando el Código te roba la Personalidad 🧠🔥,"Jan 21, 2026",43,15,0.0272,0,0.002,115,0.87
rJZI6kP3DmM,Que aplicación quieren para el curso de Flutter?,"Mar 20, 2023",28,15,0.0307,0,0.003,235,0
NUsKAHf74LE,Como resolver un bug en producción en menos de 10 minutos,"Feb 8, 2023",30,15,0.059,0,0.005,177,2.82
qey3m-4PqD8,¿Cómo se crean diseños responsivos en Flutter?  #flutterapp #flutterdeveloper no. 9,"Oct 2, 2023",32,15,0.0736,0,0.005,176,3.41
xsd4Ae6Vccs,Como leer la documentacion de flutter,"Aug 10, 2021",554,15,0.7549,0,0.259,168,4.76
1Sufl7dXDhA,La habilidad #1 que le falta a todo programador 💸,"Nov 24, 2025",13,15,0.0218,0,0.01,31,0
qbgp7KtxHAE,Flutter ¿Qué Computadora Comprar?,"Nov 11, 2020",622,14,0.5042,1,0.277,166,3.61
eskrSfqZrC0,¿Cómo aprender a programar en nextjs con nextui?,"Jul 19, 2023",54,14,0.0496,0,0.006,380,1.05
QrTTwrlaL74,"Flutter y Supabase, como encontraron ideas para hacer apps parte 2 #flutterapp  #developer","Jul 31, 2024",60,14,0.0651,0,0.01,300,2.33
tBF1VnZNufs,Quien ya pudo comprar boletos para el mundial 2026?,"Sep 10, 2025",17,14,0.0235,0,0.025,168,1.79
F21YTGQLI4M,Como Organizar Tus Proyectos En Flutter || Eliecer Garcia,"Sep 1, 2020",936,14,0.4777,0,0.018,135,4.44
9J2j6RJm80c,¿Qué 💻 comprar para programar en flutter? Parte 2 #flutterapp #flutter #flutterengage,"Oct 17, 2024",61,13,0.0277,0,0.002,129,1.55
hy23rkdyUH0,Caracteristicas de Firebase a usar en Flutter en Español,"Mar 1, 2022",403,13,0.5827,0,0.05,625,1.44
QcvonkS116M,Modo Zen ¿Es útil? (Visual Studio),"Apr 28, 2022",316,13,0.2696,0,0.113,72,2.78
xLdNGUECAVQ,Como empezar un Side Project,"Jun 17, 2023",220,13,0.4487,1,0.058,177,5.08
TwGU2yPwpZo,038. Así hago dinero como programador,"Feb 5, 2024",1373,13,0.5498,0,0.03,279,3.23
Iuc9h0DdX4M,Flutter en Español Subiendo Mi Primera App,"May 4, 2021",698,13,0.6313,0,0.113,623,1.28
fPxUddOtpTQ,¿setState para TODO? ⚠ Error común en Flutter #flutterdeveloper,"Oct 1, 2025",44,13,0.0544,0,0.005,87,5.75
ZVPZHqWSxiE,"034. Flutter vs React Native, ¿Cuál gana en el 2024?","Jan 8, 2024",1321,13,1.2406,0,0.133,475,1.47
tVFy6WEFOvc,FLUTTER: COMO Hacer una APP Desde Cero en español #01 #flutterapp,"Jul 30, 2022",1578,12,0.3178,1,0.07,118,0.85
ttyk3usc9Lg,DEJA LA PELEA: Python vs Node (Los PROS usan AMBOS),"Nov 15, 2025",17,12,0.0343,0,0.004,298,0.67
V_rUZ18MiFM,Full stack developer hoy en día,"Oct 8, 2025",9,12,0.0097,0,0.002,38,2.63
owdYMBoifkI,¿Cuál es el propósito del método `setState` en Flutter? no. 8  #flutterapp #flutterdeveloper,"Sep 29, 2023",33,12,0.0705,0,0.004,105,1.9
7sAi6-1A43E,046. Que aplicaciones usan Flutter?,"Jun 4, 2024",442,12,0.5866,0,0.048,94,5.32
JB7sB-DqiBI,"Fernando Herrera, como empezo su carrera universitaria parte #2","Mar 13, 2023",59,12,0.0446,0,0.003,357,0.56
bzr7oZWJbkM,Neretta café está chido para ir a trabajar,"Apr 11, 2025",21,12,0.0121,0,0.002,87,2.3
_X4Pvgj-4og,"Cristina Loustaunau, nos comenta como iniciar en la web3 🌐 #web3 #blockchain #nft #poap","Apr 21, 2023",60,11,0.0743,0,0.004,172,2.91
NDEkUj8YBIM,"Theme widget, ¿Cómo se usa?","Jun 12, 2024",435,11,0.3159,0,0.308,194,0.52
vNjZZPQ1ZH0,Flutter en Español Crear Objetos para conectar Firebase con Flutter,"Dec 23, 2020",990,11,0.3197,0,0.334,154,5.19
ruv1_ofHA3U,10 Hábitos para ser mejor programador,"Nov 26, 2024",1297,11,0.4446,0,0.032,195,1.54
rVKov4q3Pz4,Reaccionando al Flutter template en Español,"Sep 14, 2021",650,11,0.6984,0,0.36,103,7.77
gn_kmPQOwFo,El mercado de software que nadie está viendo,"May 18, 2026",82,11,0.0832,0,0.004,109,0.92
dES7lMSwqdg,Flutter en español ¿Qué cursos tomar para aprender Flutter?,"Jun 29, 2021",597,11,0.7632,0,0.086,242,2.48
oWfY1PItqYI,Sirve un standing desk?,"Jan 16, 2024",17,11,0.0204,0,0.002,124,1.61
r3HQ52DuA88,"Cadena de oración para que pase mi entrevista en inglés, la oferta sea jugosa pueda ser programador","Jan 31, 2025",10,11,0.008,0,0.003,135,0
I48kvMJwXng,"Curso de Flutter en español, Como manejar rutas en mi app de flutter","May 23, 2023",876,11,0.3376,0,0.052,97,2.06
fRDSX9gunXM,Fracase en un hackathon,"Apr 29, 2025",11,11,0.0189,0,0.006,143,2.1
MbIsqZ9HE-M,¿Qué son las rutas en Flutter? no. 12  #flutterapp #flutterenespanol #flutterenespañol #programador,"Oct 5, 2023",19,11,0.0273,0,0.005,207,1.93
-iCCwE_Pmao,¿Qué Mac 💻 comprar para programar en flutter? Parte 3 #flutterapp #flutterdev #flutterfavorite,"Oct 17, 2024",61,10,0.0408,0,0.012,118,1.69
VsPAspveKOg,Música Para Programar || Música Para Trabajar ||  Eliecer Coding,"Sep 15, 2020",3603,10,3.2326,0,0.099,236,1.69
0YrmgXwz7Vs,"Fernando Herrera, como empezo su carrera universitaria parte #7","Mar 18, 2023",60,10,0.0438,0,0.003,361,0.28
cOZTG-fz8RA,¿Cómo desarrollar apps en web3?,"Oct 9, 2023",325,10,0.2237,0,0.027,67,7.46
JnHiSVJZ1GM,"Como empezar en la web3? Entrevistamos a Cristian Zambrano , nos comparte cómo iniciar en blockchain","Apr 20, 2023",58,10,0.0796,0,0.005,215,1.4
GxwltJYQQRk,Flutter Turorial FirebaseStore ¿Cómo Agregar Documentos?,"Aug 14, 2022",2107,10,0.1731,0,0.083,252,2.78
qFYid1ouChg,¿Cómo puedes manejar los cambios de orientación en Flutter?,"Oct 13, 2023",16,10,0.0082,0,0.003,214,0.93
YYx6uojriwA,¿Qué es flutter? #006 Curso de Flutter en español,"Dec 20, 2022",322,10,0.2902,0,0.294,122,4.1
EntRW4_m6W4,Momentos antes de saber el resultado del hackathon,"May 4, 2025",27,10,0.0227,0,0.002,129,0
OXrXW1f3K4k,Flutter en Español Firebase Crud (Parte 1) || Eliecer Garcia,"Dec 30, 2020",1782,10,0.3562,0,0.771,169,4.14
eaJd3S9Njo8,Flutter mejor que react 🚀,"Feb 12, 2024",59,10,0.0703,0,0.002,44,0
wHIl9S7nLCQ,Flutter Primeros Pasos En Una App || Episidio 01,"Dec 2, 2020",1172,10,0.9385,0,0.234,126,3.97
gVH9vHNQBTk,Flutter Las Mejores Funcionalidades Que No Tiene Kotlin Ni Swift,"Jun 30, 2020",382,10,0.4368,0,0.057,142,1.41
vrXzqume8Xs,¿Flutter funciona en Windows 11?,"Jul 6, 2021",473,10,0.2905,0,0.081,131,6.11
K4EYDrJzR6Q,El MEJOR Lenguaje de Programación (La VERDAD que duele),"Nov 18, 2025",23,10,0.0285,0,0.007,202,0.99
xrR9zp37UPw,Flutter Mi Experiencia Despues De Un Año || Eliecer Coding,"Oct 13, 2020",526,9,0.4342,1,0.306,418,1.67
BvEDQnhS6MU,Flutter Conectar Firebase a Mi Proyecto en Español Episodio 02,"Dec 9, 2020",1982,9,0.683,0,0.466,149,2.68
wXHzmY5sZL4,En un día construyamos YouTube con Flutter en Español,"Feb 24, 2021",5467,9,0.7161,1,0.097,104,5.77
bTg4zfGX5_M,Toco aprender Riverpod,"Aug 21, 2025",18,9,0.0332,0,0.005,76,6.58
-g0gYlpTn6M,¿Cómo Instalar Flutter En Windows 10 En 2021? || Eliecer Garcia,"Jul 14, 2020",1820,9,1.2644,0,0.006,142,3.52
ynUVpT8rp7Q,Flutter en Español ¿Cuánto Cobrar por Proyecto?,"Jan 19, 2021",679,9,0.5383,0,0.059,69,2.9
82sVjPjozF0,"Coffee Break, lo que todo programador quiere!","Mar 7, 2023",14,9,0.0122,0,0.003,197,1.02
tjU8q6bdgsQ,Cafecito y a trabajar,"Jan 31, 2023",4,9,0.0048,0,0.001,35,2.86
XiLkhz-yqHc,Cómo cambió la industria tech en 2025,"Oct 27, 2025",1251,9,0.5061,0,0.012,531,0.94
bogXFF2qNRs,"En 2025 contratan ""Ingenieros de Ecosistemas"", no ""Devs de Frameworks""","Oct 29, 2025",25,8,0.0203,0,0.005,305,0.66
-BrjZuLQRBA,Limpia tu setup!,"Feb 6, 2023",35,8,0.0069,0,0.002,57,1.75
YKPNUmyAj8s,Cuando te pregunten que es GitHub responde lo siguiente!,"Apr 2, 2023",48,8,0.0229,0,0.004,93,2.15
GdpchvW0PUk,"Flutter y Supabase, como encontraron ideas para hacer apps parte 3 #flutterapp #developer","Aug 1, 2024",59,8,0.067,0,0.004,196,1.53
7OAyHhn3vJo,Coffee And Code #04 Fernando Herrera,"Nov 2, 2021",8176,8,2.4764,0,0.003,93,2.15
GzcEhU7umyE,Flutter vs react native?,"Jan 30, 2024",38,8,0.0261,0,0.002,57,5.26
QmXnwErWqMk,Mi humilde punto de vista,"Apr 28, 2023",5,8,0.0014,0,,270,0
kN_-gmveTvA,El Nuevo Proceso de Entrevistas tech,"Oct 29, 2025",36,8,0.0395,0,0.003,150,3.33
KQNnL-oXw2Y,¿Que es la deuda técnica?,"Dec 13, 2025",48,8,0.0626,0,0.004,109,0.92
QP0pGkUxpxk,Así conseguí mi primer trabajo,"Sep 5, 2025",45,8,0.0553,0,0.004,94,3.19
VP-Q_QHUoRE,Un carro autónomo razona más hoy en día….,"Jun 12, 2025",11,8,0.0087,0,0.004,77,2.6
1jBPLzs97e4,Con estas rolas se me antoja una cheve 🍺,"Jun 21, 2023",34,7,0.0314,0,0.018,18,0
tSbakzRr6C0,@midudev Talent Land 2025 y sus consejos para aprender IA,"Apr 28, 2025",86,7,0.0531,0,0.004,211,0.47
WpaYJt5M0aM,Como creo que me veo programando  #softwaredevelopment  #humor,"Jun 20, 2024",14,7,0.0077,0,0.005,26,3.85
